ID,Title,Content,Excerpt,Date,"Post Type",Permalink,"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL",Categories,Tags,"Event Regions",_wpv_contains_gutenberg_views,_wp_old_slug,wpcf-event-date,_yoast_wpseo_primary_category,_yoast_wpseo_primary_event-region,_yoast_wpseo_content_score,_yoast_wpseo_estimated-reading-time-minutes,_aioseop_description,robotsmeta,_aioseop_title,_yoast_wpseo_metadesc,_yoast_wpseo_title,_aioseop_keywords,_yoast_wpseo_metakeywords,fig_thumbnail,_vc_post_settings,_pys_head_footer,_x_entry_body_css_class,_x_post_layout,_x_entry_alternate_index_title,_x_entry_bg_image_full,_x_entry_bg_image_full_fade,_x_entry_bg_image_full_duration,_x_quote_quote,_x_quote_cite,_x_link_url,_x_video_aspect_ratio,_x_video_m4v,_x_video_ogv,_x_video_embed,_x_audio_mp3,_x_audio_ogg,_x_audio_embed,_x_ethos_index_featured_post_layout,_x_ethos_index_featured_post_size,_x_ethos_post_carousel_display,_x_ethos_post_slider_blog_display,_x_ethos_post_slider_archives_display,_views_template,_wpb_vc_js_status,slide_template,_wpe_gce_active,_wpe_gce_code,_yoast_wpseo_focuskw,_yoast_wpseo_linkdex,coll_background_repeat,coll_background_position,_yoast_wpseo_opengraph-description,_revision-control,_wpgmp_location_address,_wpgmp_metabox_latitude,_wpgmp_metabox_longitude,_wpgmp_metabox_location_redirect,_wpgmp_metabox_custom_link,_wpgmp_map_id,_wpgmp_metabox_marker_id,_wpgmp_metabox_taxomomies_terms,_wpgmp_extensions_fields,_wpac_members_redirect_to,_wpac_show_in_search,_wpac_show_excerpt_in_search,_wpac_nonmembers_redirect_to,_yoast_wpseo_wordproof_timestamp,_wp_old_date,enclosure,ct_other_template,ct_template_archive_post_types_all,ct_template_categories,ct_template_categories_all,ct_template_tags,ct_template_tags_all,ct_template_custom_taxonomies,ct_template_custom_taxonomies_all,ct_template_authors_archives_all,ct_template_index,ct_template_front_page,ct_template_blog_posts,ct_template_date_archive,ct_template_search_page,ct_template_inner_content,ct_template_404_page,ct_template_all_archives,ct_template_archive_among_taxonomies,ct_template_apply_if_archive_among_taxonomies,ct_template_archive_post_types,ct_template_apply_if_archive_among_cpt,ct_template_authors_archives,ct_template_apply_if_archive_among_authors,ct_template_single_all,ct_template_post_types,ct_template_exclude_ids,ct_template_include_ids,ct_template_taxonomies,ct_use_template_taxonomies,ct_template_post_of_parents,ct_template_apply_if_post_of_parents,ct_template_order,ct_builder_shortcodes,_dp_original,scrolling_images,_scrolling_images,_encloseme,Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date"
47,"Consent approved","After working through some of the unique construction features and confirming engineering calculations Wanganui District Council, have issued consent to build the first eHaus.  Hooray!",,2010-08-21,post,https://ehaus.co.nz/?p=47,,,,,,,,"eHaus News|New Zealand projects",,,,,,4,,90,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,2,Jon,info@ehaus.co.nz,Jon,Iliffe,consent-approved,,,0,0,0,open,open,2024-01-07
49,"eHaus show home","Wow what a busy week this week has been.  We are finally at the stage where we have secured suppliers for the eHaus show home.

The site is cleared and ready to start with the foundations.  We are going to be using the EcoBlock product to create our own unique solution, that will guarantee the best thermal properties to trap the precious heat energy in the house rather than letting it leak like a sieve from the foundation.

If you are interested in this particular area of our build, I have some therm computer models which clearly show the difference between a standard build and an eHaus build.",,2010-09-01,post,https://ehaus.co.nz/?p=49,,,,,,,,"eHaus News",,,,,,4,,60,1,"eHaus use processes that are environmentally responsible and resource-efficient throughout the building's life-cycle. Creating energy wise homes.","index,follow","Green Building NZ  - eHaus energy wise homes","eHaus use processes that are environmentally responsible and resource-efficient throughout the building's life-cycle. Creating energy wise homes.","Green Building NZ - eHaus energy wise homes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,2,Jon,info@ehaus.co.nz,Jon,Iliffe,ehaus-show-home,,,0,0,0,open,open,2024-01-07
378,"Eco-Block wall construction","eHaus Low Energy Healthy Homes Video

httpv://www.youtube.com/watch?v=NdMN51oMlKk",,2010-10-05,post,https://ehaus.co.nz/?p=378,,,,,,,,"New Zealand projects",,,,,,8,,90,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,2,Jon,info@ehaus.co.nz,Jon,Iliffe,eco-block-wall-construction,,,0,0,0,open,open,2024-01-07
616,"The word is spreading","<p style=""text-align: left"">In the last few weeks it seems like the word is spreading as people have been travelling from all around the country to visit the eHaus. They have either visited the website and like what we are able to offer or have heard from one of our suppliers about this new approach to building. Typically they want to build an energy efficient home and want to see firsthand what that might look like.</p>
They have not been disappointed with all visitors saying what they have seen is brilliant. Because of this demand we have developed a consultation service to team up with you and your designer if you are outside of the Manawatu/Wanganui region.&nbsp; This means we take your proposed design load it into the PHPP software which is able to predict the performance of the building in terms of comfort and energy consumption. After this initial work we are then able to make adjustments if required to improve the performance. If you would like to know more about this service please email an enquiry or call Baden or Jon. For a small cost we can take out the risk for you and give you real performance data before you even start to build!

I have included a page from the PHPP software to give you an idea of the detail that is given.

<a href=""http://ehaus.co.nz/wp-content/uploads/PHPP-sample2.jpg""><img class=""aligncenter size-full wp-image-619"" title=""PHPP sample"" src=""http://ehaus.co.nz/wp-content/uploads/PHPP-sample2.jpg"" alt=""PassivHaus Planning Package Sample Page"" width=""694"" height=""559""></a>",,2011-06-28,post,https://ehaus.co.nz/?p=616,,,,,,,,"Passive house",,,,,,9,,60,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,2,Jon,info@ehaus.co.nz,Jon,Iliffe,the-word-is-spreading,,,0,0,0,open,open,2024-01-07
750,"""Workshop is an absolute must""","On Saturday we ran the second of our popular 1 day eHaus workshops. &nbsp;The time just&nbsp;fly's&nbsp;by with so many topics to discover and lots of&nbsp;practical&nbsp;examples of how the Passive House Standard really works right here in New Zealand.

Such positive feed back from the day confirms there is a real demand for this type of education ........ &nbsp;""attendance is an absolute must for anyone serious about building a new home. I will be&nbsp;recommending&nbsp;it to others"" ......... "" all of the topics were&nbsp;valuable"" &nbsp;............. ""the&nbsp;presentation&nbsp;material&nbsp;was impressive""

<a href=""http://ehaus.co.nz/wp-content/uploads/download-nzstudy.jpg""><img class=""alignright size-medium wp-image-751"" title=""Pro clima-nzstudy"" src=""http://ehaus.co.nz/wp-content/uploads/download-nzstudy-252x300.jpg"" alt="""" width=""252"" height=""300""></a>

Thomas van Raamsdonk of pro clima was on form with a blower door simulation and the first public release of an incredible New Zealand Based study that has been&nbsp;commissioned&nbsp;by pro clima on air tightness and moisture&nbsp;management. You can download your own copy here:

<a href=""http://www.proclima.co.nz/pro-clima-study"">http://www.proclima.co.nz/pro-clima-study</a>

If you would like to attend our next workshop please sign up for more news and we will make sure you get an invite. &nbsp;Just enter your email address and click submit under enquire now.",,2011-10-16,post,https://ehaus.co.nz/?p=750,,,,,,,,"eHaus News",,,,,,4,,90,1,,,,,,,,,"a:2:{s:7:""vc_grid"";a:0:{}s:10:""vc_grid_id"";a:0:{}}",,,off,,,750,7500,,,,16:9,,,,,,,off,Skinny,off,off,off,,false,,,,"passive house",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,2,Jon,info@ehaus.co.nz,Jon,Iliffe,workshop-is-an-absolute-must,,,0,0,0,open,open,2024-01-07
806,"Out of the ground","<a href=""http://ehaus.co.nz/latest-news/out-of-the-ground/attachment/news/"" rel=""attachment wp-att-812""><img class=""aligncenter size-full wp-image-812"" title=""News"" src=""http://ehaus.co.nz/wp-content/uploads/News.tiff"" alt=""""></a>

eHaus is involved with one of the most exciting residential building &nbsp;projects in the country. It is of course a Passive House that is under construction, and now out of the ground, in Auckland. A team of professionals have come together to make the owners dreams come true. eHaus is responsible for the Passive Design in conjunction with Jessop Architecture. The process is, create the house design, enter this design data into the Passive House Planning Package (PHPP) and then determine what needs to be done to make it perform to the standard. The team at Jessop's were great to work with as they were just as passionate as us to meet the customers expectations.

Along with Carters and Auckland City Council are a list of suppliers that have all been keen to support the project as it is so clear that this is the way of the future. I am contributing to a blog that is following the progress masterminded by Dr Paola Leardini at The University of Auckland.

We have 5 other Passive House projects that we are working on now with capacity for more. Please give me a call or email if you want information on how we can design and build a Passive House for you.",,2011-12-15,post,https://ehaus.co.nz/news/out-of-the-ground/,,,,,,,,"New Zealand projects|Passive house",,,,,,9,,60,2,"eHaus have 5 other Passive House projects that we are working on now with capacity for more. Call or email if you want information on how we can design and build a Passive House for you.",,"A Passive House design in Auckland New Zealand","eHaus have 5 other Passive House projects that we are working on now with capacity for more. Call or email if you want information on how we can design and build a Passive House for you.","A Passive House design in Auckland New Zealand",,,,"a:2:{s:7:""vc_grid"";a:0:{}s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,private,2,Jon,info@ehaus.co.nz,Jon,Iliffe,out-of-the-ground,,,0,0,0,open,open,2024-01-08
1133,"Actual Daily Temperatures of the eHaus","<p style=""text-align: center""><a href=""http://ehaus.co.nz/wp-content/uploads/daily-temps.jpeg""><img class=""aligncenter  wp-image-1147"" title=""daily temps"" src=""http://ehaus.co.nz/wp-content/uploads/daily-temps-640x338.jpg"" alt="""" width=""750"" height=""400""></a>Here are the actual daily temperatures recorded in the eHaus, outside and next door (a typical 3 year old brick clad house). These temperatures were recorded every 30mins and then loaded into a CSV file to generate the graphs. The heating used in the eHaus is a Pellet fire which has consumed 55kg of pellets in June. Translated into dollar figures the total heating cost for the eHaus in June was $30.25 when buying the pellets in bulk or $48.55 when purchased by the bag. The pellet fire consumes about 1.4kg per hour so the unit has run for about 40 hrs total for the month.</p>
<p style=""text-align: center""><a href=""http://ehaus.co.nz/wp-content/uploads/average-temps.jpeg""><img class=""aligncenter  wp-image-1148"" title=""average temps"" src=""http://ehaus.co.nz/wp-content/uploads/average-temps-640x349.jpg"" alt="""" width=""750"" height=""400""></a></p>
<p style=""text-align: left"">This second graph shows the average daily temperatures recorded in June. The eHaus is generally 4 degrees warmer than the other &nbsp;house.</p>
<p style=""text-align: left"">The figures are one thing but actually living in the house is something else. One of the biggest difference to a normal house is the temperate swing is so much less, getting up in the morning is a lot easier when it is 18 degrees not 12 degrees!</p>
<p style=""text-align: left"">One thing to remember is this house is the first eHaus built and not good enough to reach the PassivHaus standards as it has insufficient insulation under the concrete pad. What that means is it leaks thermal energy more than it should. We currently have 3 more builds on the go that are to the PassivHaus standard so watch this space.</p>",,2012-07-11,post,https://ehaus.co.nz/?p=1133,https://ehaus.co.nz/wp-content/uploads/2012/07/daily-temps-640x3381.jpg,daily-temps-640x338,,,,https://ehaus.co.nz/wp-content/uploads/2012/07/daily-temps-640x3381.jpg,,"Passive house",,,,,,9,,60,2,,,,,,,,,"a:2:{s:7:""vc_grid"";a:0:{}s:10:""vc_grid_id"";a:0:{}}",,,off,,,750,7500,,,,16:9,,,,,,,off,Skinny,off,off,off,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,2,Jon,info@ehaus.co.nz,Jon,Iliffe,actual-daily-temperatures-of-the-ehaus,,,0,0,0,open,open,2024-01-08
1308,"Listen to the eHaus Interview on Home Style Green","<a href=""http://ehaus.co.nz/wp-content/uploads/Oakmead-School.jpg""><img class=""aligncenter size-medium wp-image-1309"" title=""Oakmead School"" src=""http://ehaus.co.nz/wp-content/uploads/Oakmead-School-640x386.jpg"" alt="""" width=""640"" height=""386"" /></a>

&nbsp;

Matthew Cutlet-Welsh of Home Style Green has just interviewed eHaus to have a listen click <a title=""eHaus Pod Cast"" href=""http://feeds.feedburner.com/HomeStyleGreen"">HERE</a>  This interview came about through a meeting with Elrond Burrell who is an expat Kiwi Architect working in the UK. I met Elrond whilst over there recently and he showed me two PassiveHaus schools that he has been involved with. It was a cold day when we visited with snow still lingering outside Oak Meadow and even though the school was empty as it was half term it was warm inside. It is heated by two domestic boilers which is crazy when you see the size of it. But it works. The exciting thing for me is that they have achieved this building <strong>for no more cost. </strong>That is why they are very busy now with more schools underway around the UK. Just reminded of this by the cold snap here in NZ........We will build schools like this here too, its just a matter of when! Click HERE to have a look. If you want to listen to Elrond Burrell he is also on the Homestyle Green Pod Cast series.'

&nbsp;",,2013-05-30,post,https://ehaus.co.nz/news/listen-to-the-ehaus-interview-on-home-style-green/,https://ehaus.co.nz/wp-content/uploads/2013/05/Oakmead-School-640x3861.jpg,Oakmead-School-640x386,,,,https://ehaus.co.nz/wp-content/uploads/2013/05/Oakmead-School-640x3861.jpg,,"eHaus News|New Zealand projects",interview|new_zealand,,,,,,,,,,,,,,,,,"a:2:{s:7:""vc_grid"";a:0:{}s:10:""vc_grid_id"";a:0:{}}",,,off,,,750,7500,,,,16:9,,,,,,,off,Skinny,off,off,off,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publish,2,Jon,info@ehaus.co.nz,Jon,Iliffe,listen-to-the-ehaus-interview-on-home-style-green,,,0,0,0,open,open,2016-01-14
2266,"Live @ the petre dish","<img class=""alignnone  wp-image-2276"" src=""http://ehaus.co.nz/wp-content/uploads/yogaforme.jpg"" alt=""yogaforme"" width=""657"" height=""161"">
<p style=""text-align: justify"">We are putting on an event that gives you the opportunity to taste the delights of the latest eatery in Wanganui and at the same time experience all that building with eHaus offers. An <em><strong>Information Evening</strong></em> &nbsp;that will unpack how we are able to provide a warm, healthy environment to live or work in whilst drastically reducing your power bills.</p>
<p style=""text-align: justify"">The petre dish in the newly refurbished yoga for<span style=""color: #008000"">me</span> building is a perfect place to find out more as this building was transformed from a garage to one of the most energy efficient buildings in New Zealand.</p>",,2014-05-05,post,https://ehaus.co.nz/?p=2266,https://ehaus.co.nz/wp-content/uploads/2014/05/yogaforme1.jpg,yogaforme,,,,https://ehaus.co.nz/wp-content/uploads/2014/05/yogaforme1.jpg,,"eHaus News|New Zealand projects","Commercial building|Information|New building|Passive House|Wanganui Event",,,,,4,,60,1,,,,,,,,,"a:2:{s:7:""vc_grid"";a:0:{}s:10:""vc_grid_id"";a:0:{}}",,,off,,,750,7500,,,,16:9,,,,,,,off,Skinny,off,off,off,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,2,Jon,info@ehaus.co.nz,Jon,Iliffe,live-petre-dish,,,0,0,0,open,open,2024-01-08
2281,"News Flash","<img class=""alignnone size-full wp-image-1796"" src=""http://ehaus.co.nz/wp-content/uploads/Sustainable_refurbish_commercial_nz_bw1-e1396567918659.jpg"" alt=""Sustainable_refurbish_commercial_nz_bw"" width=""554"" height=""319"">

The date for the information evening has been updated...................... &nbsp;Now Friday 6th June Click the link below for more information.

We are putting on an event that gives you the opportunity to taste the delights of the latest eatery in Wanganui and at the same time experience all that building with eHaus offers. An&nbsp;<em><span style=""font-weight: 600"">Information Evening</span></em>&nbsp;&nbsp;that will unpack how we are able to provide a warm, healthy environment to live or work in whilst drastically reducing your power bills.

The petre dish in the newly refurbished yoga for<span style=""color: #008000"">me</span>&nbsp;building is a perfect place to find out more as this building was transformed from a garage to one of the most energy efficient buildings in New Zealand.",,2014-05-05,post,https://ehaus.co.nz/?p=2281,https://ehaus.co.nz/wp-content/uploads/2014/05/Sustainable_refurbish_commercial_nz_bw1-e13965679186591.jpg,Sustainable_refurbish_commercial_nz_bw1-e1396567918659,,,,https://ehaus.co.nz/wp-content/uploads/2014/05/Sustainable_refurbish_commercial_nz_bw1-e13965679186591.jpg,,"eHaus News|New Zealand projects|Uncategorized",,,,,,4,,60,1,,,,,,,,,"a:2:{s:7:""vc_grid"";a:0:{}s:10:""vc_grid_id"";a:0:{}}",,,off,,,750,7500,,,,16:9,,,,,,,off,Skinny,off,off,off,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,draft,2,Jon,info@ehaus.co.nz,Jon,Iliffe,news-flash,,,0,0,0,open,open,2024-01-08
