title,slug,postDate,dateField,eventLocation,newsFeaturedImage,eventImageGallery,introSection,bodyText,registrationButtonLink,emailRegistration,tags
eHaus Live Webinar,ehaus-live-webinar,2023-07-16,1690329600,,https://ehaus.co.nz/wp-content/uploads/2020/05/200409_eHaus-FB-Webinar-File.jpg,https://ehaus.co.nz/wp-content/uploads/2022/05/220705_eHaus-Webinar-Facebook-Ad.jpg|https://ehaus.co.nz/wp-content/uploads/2022/05/220705_eHaus-Webinar-Zoom-Graphic.jpg|https://ehaus.co.nz/wp-content/uploads/2022/08/220922_eHaus-Webinar-Zoom-Graphic.jpg|https://ehaus.co.nz/wp-content/uploads/2022/09/070922_eHaus-Webinar-Zoom-Graphic.jpg|https://ehaus.co.nz/wp-content/uploads/2022/11/211004_eHaus-Webinar-Zoom-Graphic.jpg|https://ehaus.co.nz/wp-content/uploads/2022/11/211004-eHaus-Webinar_Facebook-Ad.jpg|https://ehaus.co.nz/wp-content/uploads/2023/02/220323_eHaus-Webinar-Zoom-Graphic.jpg|https://ehaus.co.nz/wp-content/uploads/2023/05/240523_eHaus-Webinar-Zoom-Graphic.jpg|https://ehaus.co.nz/wp-content/uploads/2023/07/260723_eHaus-Webinar-Zoom-Graphic.jpg,,"<!-- wp:image {""id"":15377,""sizeSlug"":""large"",""linkDestination"":""media"",""dynamicAttributes"":{""toolsetDSVersion"":""252000""}} -->
<figure class=""wp-block-image size-large""></figure>
<!-- /wp:image -->

<!-- wp:paragraph {""dynamicAttributes"":{""toolsetDSVersion"":""252000""}} -->
<p>Thinking of building? This free webinar: Building the Passive House Way, is not to be missed!</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph {""dynamicAttributes"":{""toolsetDSVersion"":""252000""}} -->
<p>The eHaus difference lies at the very heart of our homes and we invite you to learn about the mechanics of these healthy, comfy, high performing homes and the eHaus process.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph {""dynamicAttributes"":{""toolsetDSVersion"":""252000""}} -->
<p>We will explain the key Passive House principles and how these are applied to the design and build process. You'll also learn about the incredible health and comfort benefits you can expect from your eHaus.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph {""dynamicAttributes"":{""toolsetDSVersion"":""252000""}} -->
<p>There will even be a Q&amp;A session at the end, so come prepared to ask your questions and hear from our experts.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph {""dynamicAttributes"":{""toolsetDSVersion"":""252000""}} -->
<p>Registrations closed<br>When: Wednesday 26th July at 7pm</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph {""dynamicAttributes"":{""toolsetDSVersion"":""252000""}} -->
<p></p>
<!-- /wp:paragraph -->",,,
eHaus Taranaki Open Home Tour,ehaus-taranaki-open-home-tour,2023-05-14,,,https://ehaus.co.nz/wp-content/uploads/2023/05/eHaus-Taranaki-WIP.jpg,https://ehaus.co.nz/wp-content/uploads/2023/05/eHaus-Taranaki-WIP-768x1024.jpg,,"<!-- wp:image {""id"":15072,""sizeSlug"":""large"",""linkDestination"":""media""} -->
<figure class=""wp-block-image size-large""></figure>
<!-- /wp:image -->

<!-- wp:paragraph -->
<p>The eHaus difference lies at the very heart of our homes, and we’re inviting you to experience a healthy, comfy, high-performing home. These 64sq homes have been designed and built as rental properties to provide a unique option to renters.<br><br>If you are thinking of building a new home for yourself or an investment property, then take hold of this opportunity to tour one of the two completed eHaus’ to learn how our homes are different from standard homes.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>When:</strong> 1.00-3.00pm, Sunday 28 May 2023</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>Where:</strong> New Plymouth*</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>Register:</strong> please email <a href=""mailto:susieh@ehaus.co.nz"">susieh@ehaus.co.nz</a></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>*For privacy reasons, we don't publish the address online, but register with susieh@ehaus.co.nz for full address details.</p>
<!-- /wp:paragraph -->",,susieh@ehaus.co.nz,
International Passive House Open Days,international-passive-house-open-days,2023-06-15,1687564800,,https://ehaus.co.nz/wp-content/uploads/2023/06/230615_PH-Open-Day-Website-Graphic-002.jpg,https://ehaus.co.nz/wp-content/uploads/2023/06/230615_PH-Open-Day-Website-Graphic-002-1024x576.jpg,,"<!-- wp:image {""id"":15178,""sizeSlug"":""large"",""linkDestination"":""media""} -->
<figure class=""wp-block-image size-large""></figure>
<!-- /wp:image -->

<!-- wp:paragraph -->
<p>We are opening our doors on three eHaus projects for the International Passive House Open Days.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>The International Passive House Open Days are a great opportunity to learn about Passive House and energy efficient buildings. Learn first-hand what it is like to live in a Passive House and what the building process was like. Enjoy the comfortable interior temperatures, take a look at the ventilation system, ask questions and consider the possibilities of Passive House for your own building projects.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>You can visit the following eHaus projects: </p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><a href=""https://ehaus.co.nz/project/parthenay-whanganui/"" target=""_blank"" rel=""noreferrer noopener"">590 Brunswick Road, Whanganui</a>: Open 2.00-4.00pm, Saturday 24<sup>th</sup> and Sunday 25<sup>th</sup> June 2023.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><a href=""https://ehaus.co.nz/project/hawkes-bay-havelock-north/"" target=""_blank"" rel=""noreferrer noopener"">Havelock North</a>: Open 1.00-4.00pm, Saturday 24<sup>th</sup> June 2023. Bookings are required, please contact Sharon at <a href=""mailto:sharonw@ehaus.co.nz"">sharonw@ehaus.co.nz</a> or 027 721 9324 for the address. </p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><a href=""https://ehaus.co.nz/project/dunedin-co-housing-project/"" target=""_blank"" rel=""noreferrer noopener"">Toiora High Street Co-housing Project</a>, 11/25 Alva Street, Dunedin: Open 1.00-3.00pm, Sunday 25<sup>th</sup> June 2023. Bookings are required, please email Tim Ross tim@architype.co.nz</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p></p>
<!-- /wp:paragraph -->",,sharonw@ehaus.co.nz,
eHaus Gisborne Open Construction Day,ehaus-gisborne-open-construction-day,2023-06-20,,,https://ehaus.co.nz/wp-content/uploads/2023/06/20230621_094923-002-scaled.jpg,https://ehaus.co.nz/wp-content/uploads/2023/06/20230621_094923-002-1024x577.jpg,,"<!-- wp:image {""id"":15257,""sizeSlug"":""large"",""linkDestination"":""media"",""dynamicAttributes"":{""toolsetDSVersion"":""252000""},""imageObject"":{""url"":{""image"":[]}}} -->
<figure class=""wp-block-image size-large""></figure>
<!-- /wp:image -->

<!-- wp:paragraph -->
<p>The eHaus difference lies at the very heart of our homes, and we’re inviting you to experience this healthy, comfy, high-performing home. You will be able to see the mechanics behind this special home, and talk with our eHaus Gisborne team about building the eHaus way. </p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>If you are thinking of building a new home, then take hold of this opportunity to tour this eHaus to learn how our homes are different from standard homes.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p id=""block-c0221c12-204a-40d5-adea-7556cc359f49""><strong>Day:</strong>&nbsp;Sunday, 2 July 2023<br><strong>Time:</strong>&nbsp;1.30-3.30pm<br><strong>Location:</strong>&nbsp;Gisborne*<br><strong>Register:&nbsp;</strong>please email<a href=""mailto:william.hallgarth@ehaus.co.nz"">&nbsp;william.hallgarth@ehaus.co.nz</a></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p id=""block-075f7e13-967e-4443-b0b0-6c072cf49641"">*For privacy reasons, we don't publish the venue address online. Please register with <a href=""mailto:william.hallgarth@ehaus.co.nz"">william.hallgarth@ehaus.co.nz</a>&nbsp;to get the address details.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><em>Please note this is a working construction site and all practical steps have been made to ensure your safety while on site. Be aware of any hazards around you and please take the necessary actions to avoid them. Closed in shoes are necessary and small children must be supervised at all times. Photos may be taken during this event for marketing purposes. If you don’t wish to have your photo taken please let the team know.</em> </p>
<!-- /wp:paragraph -->",,william.hallgarth@ehaus.co.nz,Open Construction Days
eHaus Christchurch Open Construction Day,ehaus-christchurch-open-construction-day,2023-06-26,1690070400,,https://ehaus.co.nz/wp-content/uploads/2023/06/IMG_1113.jpg,https://ehaus.co.nz/wp-content/uploads/2023/06/IMG_1119.jpg|https://ehaus.co.nz/wp-content/uploads/2023/06/IMG_1113-1024x768.jpg,,"<!-- wp:image {""id"":15263,""sizeSlug"":""large"",""linkDestination"":""media""} -->
<figure class=""wp-block-image size-large""></figure>
<!-- /wp:image -->

<!-- wp:paragraph -->
<p>Our difference lies at the very heart of our homes, and we’re inviting you to experience this healthy, comfy, high-performing home in Sumner. You will be able to see the mechanics behind this special home and talk with our eHaus Christchurch team about building the eHaus way. </p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>If you are thinking of building a new home, take hold of this opportunity to tour an eHaus while it's still under construction to learn how our homes are different from standard homes.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p id=""block-c0221c12-204a-40d5-adea-7556cc359f49""><strong>Day:</strong>&nbsp;Sunday, 23 July 2023<br><strong>Location:</strong>&nbsp;Sumner, Christchurch. For privacy reasons, we don't publish the address online. Please register&nbsp;for the address details.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p id=""block-c0221c12-204a-40d5-adea-7556cc359f49""><strong>Time:</strong> When you register you will be allocated a time slot between 1.00-4.00pm. This is due to limited parking on-site and to ensure we stagger attendees. <br><strong>Register:&nbsp;</strong>please email&nbsp;<a href=""mailto:martins@ehaus.co.nz"">martins@ehaus.co.nz</a> for the address and your booking time. </p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p id=""block-075f7e13-967e-4443-b0b0-6c072cf49641""></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><em>Please note this is a working construction site and all practical steps have been made to ensure your safety while on site. Please be aware of any hazards around you and take the necessary actions to avoid them. Closed in shoes are necessary and small children must be supervised at all times. Photos may be taken during this event for marketing purposes. If you don’t wish to have your photo taken please let the team know.</em> </p>
<!-- /wp:paragraph -->

<!-- wp:image {""id"":15264,""sizeSlug"":""large"",""linkDestination"":""media""} -->
<figure class=""wp-block-image size-large""></figure>
<!-- /wp:image -->",,martins@ehaus.co.nz,Open Construction Days
Waikato pop-up show home,waikato-pop-up-show-home,2023-07-03,,,https://ehaus.co.nz/wp-content/uploads/2023/07/Carrs552544-1-scaled.jpg,https://ehaus.co.nz/wp-content/uploads/2023/07/Ehaus_carrs553296-1024x683.jpg,,"<!-- wp:image {""id"":15401,""sizeSlug"":""large"",""linkDestination"":""media""} -->
<figure class=""wp-block-image size-large""></figure>
<!-- /wp:image -->

<!-- wp:paragraph -->
<p>Welcome to the stunning home located in the contemporary Greenhill Park subdivision of Hamilton. This exceptional home has recently been completed by the eHaus Waikato team and is now open for viewing, but only for a limited time.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><a href=""https://ehaus.co.nz/project/greenhill-showhome/"" target=""_blank"" rel=""noreferrer noopener"">This exceptional property</a> showcases a harmonious blend of Abodo cladding and brick achieving a timeless yet modern look. Boasting an open-plan layout seamlessly connecting the living, dining, and kitchen areas, which effortlessly flow out to a covered outdoor living space. The residence also features three bedrooms and a separate media room, providing the perfect setting for relaxation and entertainment. Constructed to eHaus Pacific standard, this home features a Zehnder MHRV System to provide fresh, filtered air and high levels of insulation throughout to keep it warm.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>To experience an eHaus first hand and to appreciate how an eHaus is different from standard homes, the eHaus Waikato team invites you to visit this pop-up show home. The show home is available on weekdays throughout September 2023, from 9am to 3pm. Additionally, for those with busy schedules, we're more than happy to accommodate weekend viewings by appointment. To arrange a viewing, please contact Laura on 027 363 6833 or&nbsp;<a href=""mailto:laura.jacobs@ehaus.co.nz"" target=""_blank"" rel=""noreferrer noopener"">laura.jacobs@ehaus.co.nz</a></p>
<!-- /wp:paragraph -->",,laura.jacobs@ehaus.co.nz,Show Homes
eHaus Marlborough Home Show &amp; Information Evening,ehaus-marlborough-home-show-information-evening,2023-07-04,,,https://ehaus.co.nz/wp-content/uploads/2023/07/Micky-in-house-scaled.jpg,https://ehaus.co.nz/wp-content/uploads/2023/07/Image-3.jpeg|https://ehaus.co.nz/wp-content/uploads/2023/07/Micky-in-house-768x1024.jpg,,"<!-- wp:image {""id"":15354,""sizeSlug"":""large"",""linkDestination"":""media""} -->
<figure class=""wp-block-image size-large""><figcaption>Micky Dean from eHaus Marlborough</figcaption></figure>
<!-- /wp:image -->

<!-- wp:paragraph -->
<p>Join us for two exciting events in Marlborough!</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph {""fontSize"":""medium""} -->
<p class=""has-medium-font-size""><strong>Marlborough Home and Garden Show</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Visit eHaus Marlborough at the Marlborough Home and Garden Show at Stadium 2000 and discover how our homes are different from standard homes. </p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>Day:</strong> Friday, 7th July to Sunday, 9th July</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>Time:</strong> 10.00am to 4.00pm</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>Location: </strong>Stand 151, Marlborough Home and Garden Show, Stadium 2000</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph {""fontSize"":""medium""} -->
<p class=""has-medium-font-size""><strong>eHaus Information Evening</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Following the Home and Garden Show our team of experts will be hosting a special Information Evening. The eHaus difference lies at the very heart of our homes and we invite you to learn more about the mechanics of these healthy, comfy, high performing homes and the eHaus process. </p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>Day:</strong> Monday, 10th July</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>Time:</strong> 7.00 to 9.00pm</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>Location: </strong>Scenic Hotel, 65 Alfred Street, Blenheim.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>Register:</strong> Email <a href=""mailto:micky.dean@ehaus.co.nz"">micky.dean@ehaus.co.nz</a>.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>If you are thinking of building a new home, then take hold of this opportunity&nbsp;to talk to our eHaus builders about building your eHaus the Passive House way.<strong> </strong>We look forward to seeing you at one of our upcoming events! </p>
<!-- /wp:paragraph -->",,micky.dean@ehaus.co.nz,Information Evenings
eHaus Auckland West Open Construction Day,ehaus-auckland-west-open-construction-day,2023-08-22,1693612800,,https://ehaus.co.nz/wp-content/uploads/2023/08/Cox-3-002-scaled.jpg,https://ehaus.co.nz/wp-content/uploads/2023/08/Cox-3-002-1024x768.jpg,,"<!-- wp:image {""align"":""center"",""id"":15478,""sizeSlug"":""large"",""linkDestination"":""media"",""dynamicAttributes"":{""toolsetDSVersion"":""252000""}} -->
<figure class=""wp-block-image aligncenter size-large""></figure>
<!-- /wp:image -->

<!-- wp:paragraph -->
<p>The eHaus difference lies at the very heart of our homes, and we're inviting you in to see the mechanics behind this special home with our eHaus Auckland team. Tucked in the bush and using low-toxicity products and a composting toilet, this is an incredible home. Don’t miss the chance to see it first hand and talk to our eHaus team about building the eHaus way.<span style=""font-size: revert"">   </span></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p id=""block-c0221c12-204a-40d5-adea-7556cc359f49""><strong>Day:</strong>&nbsp;Saturday 2nd September, 2023<br><strong>Time:</strong>&nbsp;1pm-3pm<br><strong>Location:</strong>&nbsp;Waiatarua*<span style=""font-size: revert"">   </span></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p id=""block-075f7e13-967e-4443-b0b0-6c072cf49641"">*For privacy reasons, we don't publish the venue address online, but register with&nbsp;<a href=""mailto:admin@ehaus.co.nz"">admin@ehaus.co.nz</a>&nbsp;for full address details.<span style=""font-size: revert"">   </span></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p id=""block-7bbfb457-4e54-4333-bd6c-28b80e8e9ae7""><em>Please note this is a working construction site and all practical steps have been made to ensure your safety while on site. Please be aware of any hazards around you and take the necessary actions to avoid them. Closed in shoes are necessary and small children must be supervised at all times. Photos may be taken during this event for marketing purposes. If you don’t wish to have your photo taken please let the team know. </em></p>
<!-- /wp:paragraph -->",,admin@ehaus.co.nz,Open Construction Days
eHaus Taranaki Open Construction Day,ehaus-taranaki-open-construction-day,2023-09-11,1695513600,,https://ehaus.co.nz/wp-content/uploads/2023/08/PXL_20230821_015217263.jpg,https://ehaus.co.nz/wp-content/uploads/2023/08/PXL_20230821_015217263-1024x768.jpg,,"<!-- wp:image {""id"":15484,""sizeSlug"":""large"",""linkDestination"":""media""} -->
<figure class=""wp-block-image size-large""></figure>
<!-- /wp:image -->

<!-- wp:paragraph -->
<p>Our difference lies at the very heart of our homes, and we’re inviting you to experience this healthy, comfy, high-performing home in Oakura. You will be able to see the mechanics behind this special home and talk with our eHaus Taranaki team about building the eHaus way. </p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>If you are thinking of building a new home, then take hold of this opportunity to tour an eHaus while it's still under construction to learn how our homes are different from standard homes.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p id=""block-c0221c12-204a-40d5-adea-7556cc359f49""><strong>Day:</strong>&nbsp;Sunday 24th September, 2023<br><strong>Time:</strong>&nbsp;2pm-4pm<br><strong>Location:</strong>&nbsp;Oakura*</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p id=""block-075f7e13-967e-4443-b0b0-6c072cf49641"">*For privacy reasons, we don't publish the venue address online, but register with&nbsp;<a href=""mailto:susieh@ehaus.co.nz"">susieh@ehaus.co.nz</a>&nbsp;for full address details.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p id=""block-7bbfb457-4e54-4333-bd6c-28b80e8e9ae7""><em>Please note this is a working construction site and all practical steps have been made to ensure your safety while on site. Please be aware of any hazards around you and take the necessary actions to avoid them. Closed in shoes are necessary and small children must be supervised at all times. Photos may be taken during this event for marketing purposes, if you don’t wish to have your photo taken please let the team know.</em></p>
<!-- /wp:paragraph -->",,susieh@ehaus.co.nz,Open Construction Days
eHaus Manawatu Open Home,ehaus-manawatu-open-home,2023-09-12,1696723200,,https://ehaus.co.nz/wp-content/uploads/2023/09/Regan-and-Lani-eHaus-5-003-scaled.jpg,https://ehaus.co.nz/wp-content/uploads/2023/09/Regan-and-Lani-eHaus-5-003-1024x683.jpg,,"<!-- wp:image {""id"":15522,""sizeSlug"":""large"",""linkDestination"":""media""} -->
<figure class=""wp-block-image size-large""></figure>
<!-- /wp:image -->

<!-- wp:paragraph -->
<p>The eHaus difference lies at the very heart of our homes and&nbsp;eHaus Manawatu invites you to experience this healthy, comfortable, high-performing and award-winning home.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>If you are thinking of building a new home, then take hold of this opportunity to tour an eHaus and speak with our team about how our homes are different from conventional homes.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>When:&nbsp;1.00-3.00pm, Sunday 8 October 2023</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Where:&nbsp;Horowhenua*</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Register:&nbsp;please email&nbsp;<a href=""mailto:myproject@ehaus.co.nz"">myproject@ehaus.co.nz</a></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>*For privacy reasons, we don't publish the address online. Please register for full address details.</p>
<!-- /wp:paragraph -->",,myproject@ehaus.co.nz,
