title,slug,postDate,bodyText,newsFeaturedImage,tags
Listen to the eHaus Interview on Home Style Green,listen-to-the-ehaus-interview-on-home-style-green,2013-05-30,"<a href=""http://ehaus.co.nz/wp-content/uploads/Oakmead-School.jpg""><img class=""aligncenter size-medium wp-image-1309"" title=""Oakmead School"" src=""http://ehaus.co.nz/wp-content/uploads/Oakmead-School-640x386.jpg"" alt="""" width=""640"" height=""386"" /></a>

&nbsp;

Matthew Cutlet-Welsh of Home Style Green has just interviewed eHaus to have a listen click <a title=""eHaus Pod Cast"" href=""http://feeds.feedburner.com/HomeStyleGreen"">HERE</a>  This interview came about through a meeting with Elrond Burrell who is an expat Kiwi Architect working in the UK. I met Elrond whilst over there recently and he showed me two PassiveHaus schools that he has been involved with. It was a cold day when we visited with snow still lingering outside Oak Meadow and even though the school was empty as it was half term it was warm inside. It is heated by two domestic boilers which is crazy when you see the size of it. But it works. The exciting thing for me is that they have achieved this building <strong>for no more cost. </strong>That is why they are very busy now with more schools underway around the UK. Just reminded of this by the cold snap here in NZ........We will build schools like this here too, its just a matter of when! Click HERE to have a look. If you want to listen to Elrond Burrell he is also on the Homestyle Green Pod Cast series.'

&nbsp;",https://ehaus.co.nz/wp-content/uploads/2013/05/Oakmead-School-640x3861.jpg,New Zealand projects
eHaus Zero Show Home Open to the public for the first time!,ehaus-zero-show-home-open-public-first-time,2015-03-19,"<img class=""aligncenter size-medium wp-image-2647"" src=""http://ehaus.co.nz/wp-content/uploads/The-Black-Box-565x400.jpg"" alt=""The Black Box"" width=""565"" height=""400"" />Things have been busy at the head office of eHaus. As the brand grows market share around the country building companies are being trained and equipped to deliver the most energy efficient and comfortable houses available in New Zealand.

One of these homes has just been completed in rural Wanganui, demonstrating the supreme comfort through use of intelligent but simple design.  This show home has, again, been constructed in conjunction with Carters and the local eHaus building team who is now headed up by Simon &amp; Stacey Penn.

The house has been labeled by the locals “the black box” as from the road it could be mistaken as a flash farm shed. However stepping through the door immediately confirms that this is no ordinary country home.

eHaus believes in challenging traditional building and design by ensuring extreme efficiency and unparalleled comfort all year round. No matter what is going on outside this home immediately has the feeling of warmth, comfort, and quietness –  elements that the eHaus homes are quickly becoming known for.

This particular eHaus achieves a net zero energy status, which means it produces as much energy as it uses in a 12 month period.  Take the opportunity to view the house and you will be amazed by the low costs it takes to maintain a comfortable environment. For the first month the power used cost only $1.96 for a family of 5! The owners expect similar power bills for the entire year.

<b>This eHaus Zero is open to the general public for the first time on Saturday March 28</b><b><sup>th</sup></b><b> from 10.00am – 4.00pm.  On Sunday 29th March we will be offering exclusive tours to potential new home owners - if this you please email </b><a href=""mailto:info@ehaus.co.nz"">info@ehaus.co.nz</a><b> to reserve a place. The address is 590 Brunswick Road, Wanganui.</b>",https://ehaus.co.nz/wp-content/uploads/2015/03/The-Black-Box-565x4001.jpg,New Zealand projects
Health &amp; Comfort ... are the claims true?,health-comfort-claims,2015-06-04,"<img class=""aligncenter wp-image-2939 size-medium"" src=""http://ehaus.co.nz/wp-content/uploads/may-622x400.jpg"" alt=""may"" width=""622"" height=""400"">

My&nbsp;family have been looking forward to this time of year as we really get to find out if our new house will behave like eHaus said it would! &nbsp;We have been monitoring five internal temperatures along with the outside temperature from the beginning of the year and as you would expect the comfort&nbsp;has been great. But what happens when the outside temperature falls below 5ºC and the sun disappears for a few days? The graph shows exactly what happens, with virtually no heating (we have put the tiny electric heater on in the lounge for a total of 5&nbsp;hours so far this year!) &nbsp;the comfortable living environment continues. So the claims are true the house remains between 20ºC and 25ºC no matter what is going on inside and out. Believe me although I am a fanatic my wife and family just live the same way any other family does, lights left on, windows and doors left open, long showers, etc but none of that has much of an impact in an eHaus. The average indoor temperature for May was 21.8ºC and the average relative humidity 52. For a house to be healthy it should have a relative humidity between 40 and 60. Outside of this is where mould and damp can cause problems to the fabric of the building and the fabric of your body! To be honest I don't think the numbers really &nbsp;convey what it&nbsp;feels like so let me put it like this......

The showers and bathrooms dry on their own without the need for noisy extractor fans or opening windows. Towels dry on their own no heated towel rails required and no damp towels the following day. When you come home from work it is warm, no need to do anything it just is. No winter quilt or fleecy sheets required and no rush to get dressed in the morning, it's the same room temperature as in the summer. Of course if you want it to be cold no problem just leave&nbsp;the window open but honestly with clean, fresh, filtered air 24 / 7 why would you?

I said earlier the best way is to feel what it is like in an eHaus which is why we open the doors every other Sunday afternoon from 2pm to 4pm so you can feel the difference yourself.&nbsp;(next date is June 7th) Even better, when you visit you can&nbsp;enter the competition, with the prize of a chance to stay in the house for a night in August with breakfast provided.

Right now eHaus is designing &amp; building homes all around New Zealand, if you are ready to start your project or you want to find out more let us know.

&nbsp;",https://ehaus.co.nz/wp-content/uploads/2015/06/may-622x4001.jpg,New Zealand projects
ecoBuild Developments are Regional Business Award Winners 2013,ecobuild-developments-are-regional-business-award-winners-2013,2013-09-04,"<p style=""text-align: center;""><a href=""http://ehaus.co.nz/wp-content/uploads/Untitled-2.jpg""><img class=""aligncenter size-medium wp-image-1594"" alt=""Untitled 2"" src=""http://ehaus.co.nz/wp-content/uploads/Untitled-2-598x400.jpg"" width=""598"" height=""400"" /></a></p>
<p style=""text-align: left;""><strong>ecoBuild Developments Ltd</strong> were delighted to receive the environmental award this weekend at the Chamber of Commerce Regional Business Gala Dinner. The driving force behind entering the competition was the companies desire for continuous improvement. When you open up the business for the judges to take a look inside there are likely to be observations that will cause positive change. To win a category for us was a bonus that confirms we are on the right track! As you may have guessed the theme was the roaring 20's, a great excuse to dress up!</p>",https://ehaus.co.nz/wp-content/uploads/2013/09/Untitled-2-598x4001.jpg,New Zealand projects
Certified Passive House - eHaus,certified_passive_house,2014-03-09,"<h3><img class=""size-full wp-image-1670 alignleft"" title=""MIDDLEMARCH"" src=""http://ehaus.co.nz/wp-content/uploads/Untitled1.jpg"" alt="""" width=""582"" height=""235"" /></h3>
<h3><b>MIDDLEMARCH</b></h3>
The Certificate confirming this home can officially  be called a <b>Passive House</b> arrived last week from the certifier in Europe. This was received with much celebration in the ecoBuild Developments office!
<h3><b>CLIENT BRIEF</b></h3>
One of the delights of working with this client is he knew how to describe what he wanted but was then happy to trust us to turn his vision of words into a beautiful home. A great use of space has enabled us to fit 3 bedrooms, separate laundry, kitchen/dinning/living, library, office space and two bathrooms all into less than 150m². A key driver for the client was energy efficiency and although the Passive House concept was new, once explained it was rapidly embraced. It was no surprise to find that the client works for the Ministry of the Environment and so has a very good understanding of energy use and the cost to the environment and our pockets!
<h3><b>INTERNAL ENVELOPE</b></h3>
The airtight high-performance envelope uses an ICF (insulated concrete form) structure which has a seamless connection to the floor pad ensuring an unbroken thermal envelope that also provides the airtightness envelope. The roof is insulated with 3 layers of glass fibre batts and an airtightness membrane that is sealed to the top bracket. High performance triple glazed uPVC windows from Germany with a u value of 0.5 with a SHGC of .52 ensures the suns energy is captured. The shading ensures this energy can be controlled to prevent  overheating.
<h3><b>HARDWARE</b></h3>
The nerve centre of the home is a comfo 350 ventilation system with an inline 500W direct heating coil. The comfo 350 has become the preferred ventilation solution in New Zealand. Since eHaus fitted the first one in 2010  we have installed or specified 11 units with more in the pipeline. The hot water system has a 300litre tank powered by a two plate solar collector. This will provide all the hot water needs for ¾ of the year in sunny Wairarapa.

<img class=""wp-image-1685 alignleft"" src=""http://ehaus.co.nz/wp-content/uploads/N1141933.jpg"" alt="""" width=""314"" height=""235"" />

<b></b><img class=""wp-image-1684 alignleft"" src=""http://ehaus.co.nz/wp-content/uploads/N11419473.jpg"" alt=""OLYMPUS DIGITAL CAMERA"" width=""314"" height=""235"" />
<h3><b>ELECTRICAL</b></h3>
The majority of light fittings use LED’S technology and the appliances have all been selected for efficiency. Cooking is a hobby so an induction hob and double oven were included  in the uncluttered kitchen.
<h3><b>FEEDBACK</b></h3>
One of the encouraging aspects of being involved in the Passive House industry is hearing the feedback from the clients. And this project was no exception, perfection is unobtainable but believe me this home comes very close. ""I am pleased that eHaus introduced me to the concept of Passive House, I knew I wanted an energy efficient eco-home without properly understanding what the terms meant. The outcome is a home built to the high European energy efficiency standard which is very comfortable.""
<h3><b>PERFORMANCE</b></h3>
three bedroom house [TFA=146.4m<sup>2</sup>]

air-tightness (n50) = 0.6 h^-1

space heating demand = 15 kWh/(m<sup>2</sup>a)

heat load = 14W/m<sup>2</sup>

primary energy = 109 kWh/(m<sup>2</sup>a)
<h3><b>MECHANICAL</b></h3>
Zehnder comfo 350 ventilation system

Solar thermal panels with 300 litre tank

500W in ventilation heating",https://ehaus.co.nz/wp-content/uploads/2014/03/Untitled11.jpg,Passive house
2015 Christmas Greetings,3563-2,2015-12-22,"<h1><img class=""alignleft"" src=""https://gallery.mailchimp.com/c3adddedec87033640c6e5600/images/d5184ef7-2674-4bb6-b8e1-05fcf6c1a506.jpg"" alt="""" width=""681"" height=""178"" /></h1>
<h1></h1>
<h1></h1>
<h1></h1>
<h2><span style=""font-size: 24pt"">
<img class=""alignnone"" src=""https://gallery.mailchimp.com/c3adddedec87033640c6e5600/images/a64bf71f-a499-454f-9334-37f214946c1f.jpg"" alt="""" width=""74"" height=""64"" align=""none"" data-cke-saved-src=""https://gallery.mailchimp.com/c3adddedec87033640c6e5600/images/a64bf71f-a499-454f-9334-37f214946c1f.jpg"" />   Greetings from the eHaus team </span></h2>
2015 has been a very exciting year for eHaus with 18 new projects across the country from Auckland to Dunedin. We have also really enjoyed meeting so many people at the home shows and information evenings that we have attended during the year.

The latest completed eHaus has just received certification from the Passive House Institute in Germany this past week <span style=""line-height: 1.5"">and reinforces to us that we have customers who believe eHaus is the right choice, knowing that independent verification of performance is available.</span>

With the recent United Nations framework on climate change bringing more urgency to address the consumption of fossil fuels, the Passive House Institute were present at the conference with a presentation made by Dr. Wolfgang Feist, Director of the Passive House Institute, stating that ""Renewable energy is absolutely essential for climate protection, but better efficiency offers even greater potential"". With a third of all energy consumed by buildings, the adoption of the Passive House standard in Europe is one step closer.

We are excited about the future of Passive Housing in NZ. It makes sense to build with the future in mind and we are particularly satisfied when we hear how delighted eHaus clients are with their eHaus home. If you are still on your journey with building, we would love to chat with you about your project.

Moving forward, we are excited to announce eHaus head office is shifting into a more purposeful office in Whanganui where we can expand our team to include the Design hub and make better use of facilities. There is plenty of parking available for clients, business partners &amp; anyone else who wants to visit! More about this in our next news update.

The show home in Kapiti is taking shape and we are excited to be able to showcase this home in 2016. Our Kapiti Coast eHaus licensee - The Building Company (2014) Ltd are a driven team who can deliver your dream home for you. Be sure to watch when this home will be open for viewing.

<img class=""alignnone"" src=""https://gallery.mailchimp.com/c3adddedec87033640c6e5600/images/47ff4b97-34ac-46c1-917c-cce7edfebc0a.jpg?_ga=1.51710510.602767910.1415830186"" alt="""" width=""786"" height=""357"" />
<span style=""font-size: 8pt"">Waikanae Show Home taking shape December 2015.</span>

We extend our Christmas greetings to you and trust the New Year will be a safe and happy one for you and your family. May 2016 be all that you hope for.

We look forward to keeping in touch.

Best wishes
The eHaus team.

<img src=""https://gallery.mailchimp.com/c3adddedec87033640c6e5600/images/6370b538-5c83-462e-965d-90b7136d0529.jpg"" alt="""" />

<em>Copyright © All rights reserved.</em>

<strong>Our mailing address is:</strong>
P O Box 359
Wanganui 4571
New Zealand",https://ehaus.co.nz/wp-content/uploads/2015/12/Christmas-tree.jpg,
Allergies anyone?,allergies-anyone,2016-09-28,"It is interesting to note especially as we move into Spring, that pollen and dust mites are no longer a feature in a passive house.  This is a huge factor when deciding how to build your new home - especially if you or a family member falls victim to the ever present allergies that particularly manifest themselves around this time of the year.  A Passive House is a healthier house that controls dust and pollen associated with hay fever and other allergies. A Passive House controls humidity, eliminates mould and condensation which is associated with asthma and other respiratory illnesses.

Based on recent research, the ten most common causes of allergies are:<img class=""wp-image-4196 alignright"" src=""https://ehaus.co.nz/wp-content/uploads/2016/09/Spring_Allergies-.jpg"" alt=""spring_allergies"" width=""433"" height=""332"" />
<ul>
 	<li>Grass Allergens</li>
 	<li>Dust Mite Allergens</li>
 	<li>Weed Pollens</li>
 	<li>Tree Pollens</li>
 	<li>Cat Allergens</li>
 	<li>Dog Allergens</li>
 	<li>Indoor Mould Species</li>
 	<li>Cockroach Allergens</li>
 	<li>Rodent Waste Allergens</li>
 	<li>Outdoor Mould Species</li>
</ul>
With the specific building requirements that eHaus undertakes during construction,  most of these causes are eliminated with the installation of the highly efficient heat recovery unit.  This unit cleans and circulates the air in a room providing fresh pollen-free and dust-free air once every three hours and does not release ozone back into the air from the filtration process.   This maximises comfort for everyone, especially for those with allergies or respiratory problems.

It is definitely worth investigating if you are considering building and want to eliminate these factors from your living environment forever!",https://ehaus.co.nz/wp-content/uploads/2016/09/wheat.jpg|https://ehaus.co.nz/wp-content/uploads/2016/09/Spring_Allergies-.jpg,Passive house|Ventilation
Congratulations!!,master-builders-gold-award,2016-10-26,"Hofmans Builders of Taranaki have been awarded a Gold Award for this magnificent home which means they are in the finalists for the National Master Builders Home of the Year Awards for 2016. This beautiful home is in the category of NuLook New Homes $650,000 - $1 million.  Of course eHaus only selects the best of the best for our eHaus licensees, and we are very pleased that Steve &amp; Susie Hofmans and their team have been recognized for their superb workmanship.  If you are considering passivehouse for your build in the Taranaki area, then look no further than Hofmans Builders - our eHaus Taranaki licensee.  We wish you all the best for the Gala Awards in November!

<img class=""alignleft size-full wp-image-4262"" src=""https://ehaus.co.nz/wp-content/uploads/2016/10/Hoffman-Builders-Gold-Award-2016.jpg"" alt=""hoffman-builders-gold-award-2016"" width=""1260"" height=""560"" />",https://ehaus.co.nz/wp-content/uploads/2016/10/Hoffman-Builders-Gold-Award-2016.jpg,
Short listed for awards!,short-listed-for-awards,2016-12-14,"<img class=""size-full wp-image-4324 aligncenter"" src=""https://ehaus.co.nz/wp-content/uploads/2016/12/Parthenay.png"" alt=""parthenay"" width=""320"" height=""194"" />

Early in March, 2017, the 2nd South Pacific Passive House Conference will be held in Christchurch.  eHaus is very pleased to have entered these awards and been shortlisted in two categories. One is shortlisted in the architectural merit category and two shortlisted in the cost effective category.   We are very satisfied with this result. Our goal is to produce quality, healthy homes with unparalleled comfort that perform exceedingly well.  Being shortlisted for these awards is confirmation to us that we are producing passive homes that meet expectations.

We look forward to showcasing more of our homes as they are constructed around the country in 2017.
<div><img class=""size-full wp-image-4325 aligncenter"" src=""https://ehaus.co.nz/wp-content/uploads/2016/12/Remi.png"" alt=""remi"" width=""320"" height=""240"" /></div>",https://ehaus.co.nz/wp-content/uploads/2016/12/Remi.png|https://ehaus.co.nz/wp-content/uploads/2016/12/Parthenay.png,
New Architect joins the team!,new-architect-joins-team,2016-12-14,"One week ago we welcomed our new in-residence architect Vlada Acimovic from Serbia!  Vlada joins our already amazing eHaus design team and is already very busy designing for our eHaus clients. His NZ experience so far is very positive and he is happy to be here. Vlada says his first impressions of NZ is we have a beautiful country with amazing scenery and the people here are exceedingly helpful and very friendly. Go NZ! Vlada comes with significant work experience in Passive House architecture and we are delighted to have him on the eHaus team.

<img class=""size-full wp-image-4330 aligncenter"" src=""https://ehaus.co.nz/wp-content/uploads/2016/12/Vlada.jpg"" alt=""vlada"" width=""640"" height=""480"" />",https://ehaus.co.nz/wp-content/uploads/2016/07/eHaus-office-1.jpg|https://ehaus.co.nz/wp-content/uploads/2016/12/Vlada.jpg|https://ehaus.co.nz/wp-content/uploads/2016/12/eHaus-banner.jpg,
